1e-05
iteration,validation ndcg
0,0.313011
1,0.313096
2,0.313001
3,0.313209
4,0.314249
5,0.314867
6,0.314781
7,0.315020
8,0.314978
9,0.314613
10,0.315001
11,0.315170
12,0.314933
13,0.315425
14,0.315353
15,0.315275
16,0.315204
17,0.315940
18,0.315718
19,0.316342
20,0.317034
21,0.317328
22,0.317591
23,0.317764
24,0.318245
25,0.318260
26,0.317902
27,0.318345
28,0.318458
29,0.318183
30,0.318396
31,0.318494
32,0.319001
33,0.319226
34,0.319386
35,0.319405
36,0.319535
37,0.320151
38,0.320189
39,0.320529
40,0.320384
41,0.320319
42,0.320318
43,0.320247
44,0.319975
45,0.320229
46,0.320423
47,0.320883
48,0.320715
49,0.320555
50,0.320550
51,0.320434
52,0.320398
53,0.320327
54,0.320275
55,0.320107
56,0.320230
57,0.320105
58,0.319873
59,0.319702
60,0.319886
61,0.320007
62,0.319954
63,0.320042
64,0.320346
65,0.320664
66,0.320700
67,0.321201
68,0.320923
69,0.320748
70,0.320653
71,0.320737
72,0.321002
73,0.321196
74,0.321364
75,0.321278
76,0.321156
77,0.321270
78,0.321227
79,0.321297
80,0.321587
81,0.321775
82,0.321935
83,0.322454
84,0.322466
85,0.322652
86,0.322877
87,0.323067
88,0.323484
89,0.323760
90,0.323958
91,0.324798
92,0.324889
93,0.325005
94,0.325001
95,0.325162
96,0.325334
97,0.325342
98,0.325322
99,0.325744
100,0.325516
101,0.325398
102,0.325582
103,0.325236
104,0.325467
105,0.325290
106,0.325597
107,0.325946
108,0.325953
109,0.326117
110,0.326027
111,0.325931
112,0.326047
113,0.326118
114,0.326490
115,0.326456
116,0.326603
117,0.326763
118,0.326803
119,0.326833
120,0.326754
121,0.326879
122,0.326694
123,0.326783
124,0.326823
125,0.327088
126,0.327126
127,0.327508
128,0.327588
129,0.327440
130,0.327539
131,0.327801
132,0.327898
133,0.327946
134,0.327927
135,0.327871
136,0.328107
137,0.328347
138,0.328340
139,0.328160
140,0.328455
141,0.328734
142,0.328942
143,0.328871
144,0.329243
145,0.329263
146,0.329304
147,0.329404
148,0.328800
149,0.328944
150,0.329160
151,0.329350
152,0.329258
153,0.329306
154,0.329303
155,0.329825
156,0.329948
157,0.330043
158,0.329962
159,0.330030
160,0.330039
161,0.330771
162,0.330814
163,0.330837
164,0.330906
165,0.330863
166,0.331075
167,0.331117
168,0.330956
169,0.331227
170,0.331231
171,0.331749
172,0.331729
173,0.331684
174,0.331615
175,0.331459
176,0.331941
177,0.331916
178,0.331762
179,0.331885
180,0.332173
181,0.332511
182,0.333125
183,0.332703
184,0.333103
185,0.333322
186,0.333324
187,0.333363
188,0.333533
189,0.333902
190,0.333730
191,0.333643
192,0.333576
193,0.333598
194,0.333516
195,0.333635
196,0.333652
197,0.333488
198,0.333287
199,0.333372
200,0.333487
201,0.333751
202,0.333807
203,0.333730
204,0.333707
205,0.333850
206,0.333486
207,0.333299
208,0.333272
209,0.333292
210,0.333356
211,0.333299
212,0.333301
213,0.333414
214,0.333096
215,0.333433
216,0.333450
217,0.333477
218,0.333542
219,0.333482
220,0.333712
221,0.333735
222,0.333880
223,0.333908
224,0.333921
225,0.333922
226,0.333621
227,0.333471
228,0.334465
229,0.333838
230,0.333826
231,0.334551
232,0.334139
233,0.334173
234,0.334364
235,0.334016
236,0.334201
237,0.334206
238,0.334226
239,0.334466
240,0.334584
241,0.334648
242,0.334494
243,0.334486
244,0.334457
245,0.334428
246,0.334618
247,0.334474
248,0.334083
249,0.334197
250,0.334206
251,0.334077
252,0.334102
253,0.334297
254,0.334311
255,0.334288
256,0.334280
257,0.334168
258,0.334344
259,0.334409
260,0.334410
261,0.334559
262,0.334402
263,0.334495
264,0.334612
265,0.334617
266,0.334285
267,0.334215
268,0.334175
269,0.334204
270,0.334258
271,0.334430
272,0.334206
273,0.334175
274,0.334321
275,0.334377
276,0.334578
277,0.334491
278,0.334535
279,0.334284
280,0.334210
281,0.334120
282,0.334161
283,0.334212
284,0.334389
285,0.334359
286,0.334645
287,0.334615
288,0.334597
289,0.334595
290,0.334807
291,0.334868
292,0.334879
293,0.334849
294,0.334909
295,0.334928
296,0.334916
297,0.334944
298,0.334852
299,0.335034
300,0.335051
301,0.335334
302,0.335422
303,0.335360
304,0.335378
305,0.335565
306,0.335558
307,0.335503
308,0.334887
309,0.334672
310,0.334887
311,0.334934
312,0.335053
313,0.335304
314,0.335270
315,0.335614
316,0.335485
317,0.335489
318,0.335443
319,0.335538
320,0.335395
321,0.335306
322,0.335435
323,0.335449
324,0.335450
325,0.335442
326,0.335471
327,0.335275
328,0.335351
329,0.335428
330,0.335447
