0.01
iteration,validation ndcg
0,0.343771
1,0.340611
2,0.352179
3,0.353753
4,0.362357
5,0.362208
6,0.367428
7,0.359535
8,0.361520
9,0.366615
10,0.369851
11,0.363989
12,0.372921
13,0.366230
14,0.368985
15,0.370724
16,0.373176
17,0.371170
18,0.374327
19,0.374294
20,0.377002
21,0.370441
22,0.378231
23,0.380852
24,0.374233
25,0.373870
26,0.371217
27,0.379815
28,0.379684
29,0.373450
30,0.380919
31,0.383626
32,0.375715
33,0.378006
34,0.378231
35,0.377773
36,0.376729
37,0.382269
38,0.381676
39,0.385237
40,0.382106
41,0.379903
42,0.374276
43,0.376815
44,0.383672
45,0.378896
46,0.378339
47,0.381273
48,0.376561
49,0.378197
50,0.377906
51,0.379162
52,0.378344
53,0.378723
54,0.382796
55,0.380833
56,0.378772
57,0.381165
58,0.380931
59,0.382080
60,0.380676
61,0.380961
62,0.383977
63,0.380177
64,0.380832
65,0.374686
66,0.382526
67,0.386623
68,0.380124
69,0.380677
70,0.378216
71,0.387731
72,0.382023
73,0.381464
74,0.379680
75,0.379624
76,0.379085
77,0.381365
78,0.379875
79,0.380225
80,0.378992
81,0.380538
82,0.379147
83,0.379424
84,0.380255
85,0.381799
86,0.387468
87,0.386701
88,0.382536
89,0.383855
90,0.382520
91,0.379352
92,0.383878
93,0.381920
94,0.377494
95,0.383496
96,0.383876
97,0.382107
98,0.379586
99,0.384485
100,0.384607
101,0.379876
102,0.382664
103,0.378953
104,0.380939
105,0.380225
106,0.380604
107,0.382489
108,0.383423
109,0.380645
110,0.382148
111,0.383833
112,0.386175
113,0.382260
114,0.382761
115,0.385500
116,0.379048
117,0.381024
118,0.382162
119,0.387706
120,0.384277
121,0.382404
122,0.385043
123,0.382117
124,0.385281
125,0.380687
126,0.382297
127,0.382531
128,0.380919
129,0.383284
130,0.383562
131,0.381438
132,0.384483
133,0.382052
134,0.377499
135,0.382438
136,0.384115
137,0.384975
138,0.389187
139,0.388806
140,0.380630
141,0.385358
142,0.386877
143,0.384773
144,0.385626
145,0.385239
146,0.382517
147,0.389607
148,0.386306
149,0.382204
150,0.385835
151,0.387066
152,0.386129
153,0.386732
154,0.382751
155,0.384092
156,0.383913
157,0.379795
158,0.387555
159,0.386695
160,0.390794
161,0.382738
162,0.383800
163,0.385427
164,0.383789
165,0.387171
166,0.386789
167,0.386465
168,0.387300
169,0.381876
170,0.381654
171,0.389621
172,0.385908
173,0.386134
174,0.384991
175,0.385689
176,0.383277
177,0.384816
178,0.388026
179,0.383059
180,0.382056
181,0.386561
182,0.388730
183,0.385026
184,0.381817
185,0.384786
186,0.386018
187,0.384927
188,0.381485
189,0.382213
190,0.384274
191,0.387361
192,0.384506
193,0.388200
194,0.386006
195,0.375289
196,0.383053
197,0.380098
198,0.387455
199,0.384279
200,0.385346
201,0.386006
202,0.387379
203,0.382358
204,0.378446
205,0.384665
206,0.385072
207,0.386295
208,0.384100
209,0.387681
210,0.387327
211,0.386534
212,0.384444
213,0.385808
214,0.381273
215,0.383681
216,0.387744
217,0.383326
218,0.385461
219,0.386186
220,0.385268
221,0.383921
222,0.387183
223,0.383720
224,0.383435
225,0.379293
226,0.388273
227,0.378264
228,0.385065
229,0.392494
230,0.387604
231,0.391629
232,0.390069
233,0.389594
234,0.387989
235,0.387969
236,0.382932
237,0.386122
238,0.388081
239,0.384700
240,0.386656
241,0.386207
242,0.390254
243,0.384082
244,0.389270
245,0.386724
246,0.391681
247,0.386714
248,0.384564
249,0.383623
250,0.388704
251,0.389504
252,0.388279
253,0.383924
254,0.387442
255,0.382952
256,0.388408
257,0.379618
258,0.385683
259,0.388504
260,0.383684
261,0.386181
262,0.382400
263,0.387204
264,0.390441
265,0.390378
266,0.388005
267,0.388668
268,0.390348
269,0.387080
270,0.383649
271,0.384749
272,0.387118
273,0.390918
274,0.387381
275,0.389811
276,0.386369
277,0.387883
278,0.389601
279,0.386395
280,0.387267
281,0.388812
282,0.389776
283,0.385032
284,0.386123
285,0.388236
286,0.389696
287,0.385939
288,0.387540
289,0.385668
290,0.388888
291,0.385053
292,0.389260
293,0.387428
294,0.379629
295,0.383658
296,0.389486
297,0.388826
298,0.389364
299,0.389439
300,0.385130
301,0.391496
302,0.385585
303,0.388242
304,0.389143
305,0.383852
306,0.381260
307,0.389193
308,0.382923
309,0.390560
310,0.387813
311,0.386881
312,0.386593
313,0.388644
314,0.385910
315,0.387530
316,0.387594
317,0.388964
318,0.387957
319,0.388686
320,0.388495
321,0.387039
322,0.389502
323,0.391959
324,0.389617
325,0.388245
326,0.385380
327,0.391053
328,0.390348
329,0.390196
330,0.387660
331,0.387650
332,0.388297
333,0.388278
334,0.385840
335,0.386940
336,0.390636
337,0.390332
338,0.386714
339,0.385551
340,0.385974
341,0.386942
342,0.385763
343,0.387519
344,0.384656
345,0.384255
346,0.387753
347,0.387509
348,0.384711
349,0.389525
350,0.391518
351,0.387233
352,0.385338
353,0.387967
354,0.389541
355,0.386512
356,0.386307
357,0.382286
358,0.386522
359,0.384481
360,0.390566
361,0.385535
362,0.388481
363,0.389039
364,0.389424
365,0.386573
366,0.387537
367,0.390947
368,0.389290
369,0.387269
370,0.385694
371,0.386304
372,0.388943
373,0.389582
374,0.389071
375,0.386428
376,0.386520
377,0.384465
378,0.394867
379,0.389990
380,0.386616
381,0.386809
382,0.387191
383,0.386660
384,0.387672
385,0.389779
386,0.387620
387,0.392310
388,0.390927
389,0.388075
390,0.389698
391,0.393218
392,0.391684
393,0.386443
394,0.386893
395,0.393125
396,0.390723
397,0.388942
398,0.391335
399,0.388945
400,0.385036
401,0.389346
402,0.393038
403,0.389111
404,0.387244
405,0.389734
406,0.385626
407,0.390984
408,0.388972
409,0.383276
410,0.388334
411,0.387986
412,0.389813
413,0.384400
414,0.385579
415,0.386053
416,0.387745
417,0.385518
418,0.384399
419,0.389301
420,0.386214
421,0.387688
422,0.393836
423,0.386306
424,0.391433
425,0.388967
426,0.387309
427,0.391107
428,0.387372
429,0.388664
430,0.388160
431,0.387184
432,0.386534
433,0.387882
434,0.388738
435,0.391767
436,0.389253
437,0.383666
438,0.388079
439,0.384421
440,0.385407
441,0.388195
442,0.388051
443,0.382773
