1e-05
iteration,validation ndcg
0,0.313641
1,0.314596
2,0.315236
3,0.315814
4,0.316155
5,0.316665
6,0.316902
7,0.317134
8,0.317206
9,0.317706
10,0.318230
11,0.318142
12,0.318117
13,0.318640
14,0.318911
15,0.319687
16,0.319545
17,0.319745
18,0.320907
19,0.320889
20,0.320848
21,0.321076
22,0.320625
23,0.321249
24,0.322069
25,0.322534
26,0.322470
27,0.322191
28,0.322355
29,0.322867
30,0.322926
31,0.323518
32,0.323804
33,0.324581
34,0.324891
35,0.326801
36,0.326797
37,0.327053
38,0.327660
39,0.327763
40,0.327576
41,0.328060
42,0.328063
43,0.328598
44,0.328450
45,0.328366
46,0.328505
47,0.328512
48,0.329263
49,0.329857
50,0.329910
51,0.329931
52,0.330766
53,0.331817
54,0.332127
55,0.332339
56,0.332794
57,0.332863
58,0.332910
59,0.333577
60,0.333716
61,0.334213
62,0.334395
63,0.334656
64,0.334773
65,0.335673
66,0.335888
67,0.335990
68,0.336181
69,0.336174
70,0.336363
71,0.336437
72,0.336502
73,0.336684
74,0.336259
75,0.337384
76,0.337422
77,0.337864
78,0.337379
79,0.337484
80,0.337743
81,0.337723
82,0.337886
83,0.337991
84,0.337980
85,0.337566
86,0.337557
87,0.337753
88,0.337816
89,0.337897
90,0.337616
91,0.337880
92,0.337732
93,0.338139
94,0.338149
95,0.338143
96,0.338298
97,0.338493
98,0.338340
99,0.338224
100,0.338536
101,0.338969
102,0.338571
103,0.338864
104,0.338655
105,0.338522
106,0.339047
107,0.339478
108,0.339239
109,0.340122
110,0.340155
111,0.340092
112,0.340260
113,0.340074
114,0.340208
115,0.340026
116,0.340537
117,0.340221
118,0.340304
119,0.340385
120,0.340431
121,0.340433
122,0.340608
123,0.340573
124,0.340574
125,0.340547
126,0.340879
127,0.340698
128,0.341079
129,0.340600
130,0.340681
131,0.340922
132,0.341045
133,0.341172
134,0.341665
135,0.341596
136,0.341870
137,0.341698
138,0.341838
139,0.341866
140,0.342264
141,0.342315
142,0.342328
143,0.342064
144,0.342121
145,0.342485
146,0.342582
147,0.342538
148,0.342406
149,0.342510
150,0.342628
151,0.342611
152,0.342169
153,0.342104
154,0.341892
155,0.341998
156,0.342150
157,0.341959
158,0.341740
159,0.341755
160,0.341586
161,0.341485
162,0.341629
163,0.341727
164,0.341452
165,0.341595
166,0.341422
167,0.341194
168,0.341315
169,0.341331
170,0.341479
171,0.341646
172,0.341449
173,0.341082
174,0.341459
175,0.341015
176,0.340783
177,0.340945
178,0.340995
179,0.340878
180,0.340824
181,0.340846
182,0.340583
183,0.340814
184,0.340733
185,0.341035
186,0.341218
187,0.341057
188,0.341596
189,0.341988
190,0.341888
191,0.341952
192,0.342064
193,0.341934
194,0.341735
195,0.341854
196,0.341762
197,0.341892
198,0.342061
199,0.341868
200,0.341829
201,0.341964
202,0.341964
203,0.342340
204,0.342389
205,0.342259
206,0.342321
207,0.342103
208,0.342129
209,0.342117
210,0.342155
211,0.342394
212,0.342336
213,0.342258
214,0.342367
215,0.342028
216,0.342409
217,0.342193
218,0.342214
219,0.342193
220,0.342548
221,0.342615
222,0.343018
223,0.342853
224,0.342284
225,0.342408
226,0.342305
227,0.342313
228,0.342666
229,0.342849
230,0.342687
231,0.342869
232,0.342885
233,0.342671
234,0.342998
235,0.342958
236,0.342874
237,0.343091
238,0.342871
239,0.343094
240,0.342904
241,0.342676
242,0.342743
243,0.342814
244,0.342726
245,0.342304
246,0.342341
247,0.342550
248,0.342652
249,0.342538
250,0.342856
251,0.343223
252,0.342999
253,0.342793
254,0.342788
255,0.342952
256,0.343068
257,0.343069
258,0.343551
259,0.343540
260,0.343465
261,0.343476
262,0.343085
263,0.343468
264,0.343384
265,0.343221
266,0.342861
267,0.342978
268,0.342843
269,0.342867
270,0.342714
271,0.342647
272,0.342722
273,0.343106
274,0.343029
275,0.343023
276,0.342904
277,0.343192
278,0.343309
279,0.343412
280,0.343499
281,0.343428
282,0.343631
283,0.343463
284,0.343375
285,0.343882
286,0.343324
287,0.343762
288,0.343863
289,0.343886
290,0.343994
291,0.343854
292,0.343989
293,0.344016
294,0.343757
295,0.343624
296,0.343975
297,0.344256
298,0.344255
299,0.344536
300,0.344614
301,0.344569
302,0.344008
303,0.344564
304,0.344296
305,0.344430
306,0.344357
307,0.344201
308,0.344296
309,0.344371
310,0.344464
311,0.344478
312,0.344434
313,0.344768
314,0.344714
315,0.344535
316,0.344528
317,0.344568
318,0.344753
319,0.344466
320,0.344343
321,0.344693
322,0.344542
323,0.344359
324,0.344611
325,0.345063
326,0.344698
327,0.344331
328,0.344607
329,0.344545
330,0.344651
331,0.344587
332,0.344589
333,0.344566
334,0.344544
335,0.344355
336,0.344333
337,0.344415
338,0.344394
339,0.344408
340,0.344098
341,0.344201
342,0.344169
343,0.343993
344,0.344348
345,0.344418
346,0.344438
347,0.344372
348,0.344384
349,0.344487
350,0.344420
351,0.344464
352,0.344949
353,0.345265
354,0.345412
355,0.345461
356,0.345387
357,0.345510
