0.01
iteration,validation ndcg
0,0.352843
1,0.363518
2,0.366368
3,0.351918
4,0.363815
5,0.361187
6,0.374814
7,0.356795
8,0.364289
9,0.364577
10,0.380046
11,0.371734
12,0.375723
13,0.381587
14,0.375924
15,0.379517
16,0.376172
17,0.381129
18,0.379682
19,0.375283
20,0.376298
21,0.372605
22,0.379586
23,0.385267
24,0.383841
25,0.366838
26,0.371009
27,0.384033
28,0.380241
29,0.380626
30,0.376728
31,0.389389
32,0.382555
33,0.378860
34,0.384059
35,0.389875
36,0.372529
37,0.384731
38,0.391068
39,0.385163
40,0.387559
41,0.373360
42,0.370460
43,0.385155
44,0.390358
45,0.387055
46,0.380196
47,0.386466
48,0.377024
49,0.379971
50,0.381448
51,0.389638
52,0.371940
53,0.352231
54,0.391922
55,0.391595
56,0.390114
57,0.379836
58,0.376560
59,0.387742
60,0.387987
61,0.387992
62,0.391339
63,0.390924
64,0.387675
65,0.378292
66,0.378228
67,0.391894
68,0.390647
69,0.376380
70,0.382444
71,0.394691
72,0.387981
73,0.382406
74,0.384114
75,0.389039
76,0.387472
77,0.395951
78,0.382067
79,0.383893
80,0.394415
81,0.390329
82,0.390849
83,0.374534
84,0.388191
85,0.392901
86,0.395171
87,0.396038
88,0.395281
89,0.383375
90,0.384578
91,0.373786
92,0.383680
93,0.380943
94,0.376648
95,0.391973
96,0.388137
97,0.385913
98,0.387342
99,0.378341
100,0.395021
101,0.392275
102,0.390159
103,0.355947
104,0.384429
105,0.388584
106,0.386293
107,0.387554
108,0.395453
109,0.387564
110,0.382232
111,0.387329
112,0.392195
113,0.390181
114,0.389212
115,0.377571
116,0.370598
117,0.382528
118,0.389272
119,0.394897
120,0.384158
121,0.392251
122,0.392239
123,0.383982
124,0.394555
125,0.375015
126,0.383299
127,0.370060
128,0.381985
129,0.394363
130,0.391291
131,0.386955
132,0.395473
133,0.395157
134,0.371164
135,0.389133
136,0.386493
137,0.379954
138,0.398886
139,0.397044
140,0.388870
