1e-05
iteration,validation ndcg
0,0.315551
1,0.316671
2,0.317621
3,0.317845
4,0.317771
5,0.317846
6,0.319053
7,0.319563
8,0.319723
9,0.319724
10,0.321291
11,0.321765
12,0.322253
13,0.322679
14,0.323113
15,0.323672
16,0.323343
17,0.323974
18,0.325159
19,0.325791
20,0.327059
21,0.327941
22,0.328802
23,0.329436
24,0.330116
25,0.330642
26,0.330822
27,0.331128
28,0.331645
29,0.332625
30,0.332976
31,0.333643
32,0.334446
33,0.334920
34,0.335415
35,0.335781
36,0.337020
37,0.338037
38,0.338731
39,0.338951
40,0.339019
41,0.339574
42,0.339826
43,0.340261
44,0.340546
45,0.340595
46,0.340331
47,0.340938
48,0.340573
49,0.340383
50,0.340359
51,0.339795
52,0.340257
53,0.339924
54,0.339885
55,0.340322
56,0.340979
57,0.340726
58,0.340707
59,0.341377
60,0.341851
61,0.341246
62,0.341441
63,0.341253
64,0.342180
65,0.342868
66,0.343290
67,0.343416
68,0.343913
69,0.343689
70,0.344978
71,0.343847
72,0.343655
73,0.343838
74,0.343622
75,0.343399
76,0.343484
77,0.342999
78,0.343471
79,0.343373
80,0.343160
81,0.343782
82,0.343105
83,0.343672
84,0.343749
85,0.343648
86,0.343602
87,0.343542
88,0.343932
89,0.343602
90,0.343562
91,0.343321
92,0.343095
93,0.343504
94,0.343330
95,0.343747
96,0.343171
97,0.343298
98,0.342933
99,0.342252
100,0.342211
101,0.342437
102,0.342383
103,0.342102
104,0.342691
105,0.342323
106,0.342641
107,0.342782
108,0.342789
109,0.342687
110,0.342291
111,0.342234
112,0.342384
113,0.341648
114,0.342149
115,0.342224
116,0.341995
117,0.342317
118,0.341364
119,0.341758
120,0.341944
121,0.341740
122,0.341493
123,0.341597
124,0.341448
125,0.341471
126,0.341050
127,0.341344
128,0.341815
129,0.341590
130,0.341708
131,0.342071
132,0.342521
133,0.343061
134,0.342747
135,0.343934
136,0.343443
137,0.343541
138,0.343711
139,0.344103
140,0.343799
141,0.343545
142,0.342397
143,0.342818
144,0.342166
145,0.342555
146,0.342203
147,0.343085
148,0.342327
149,0.342561
150,0.342315
151,0.342541
152,0.342343
153,0.342199
154,0.341805
155,0.342065
156,0.341862
157,0.341938
158,0.341842
159,0.342422
160,0.342534
161,0.341642
162,0.341609
163,0.341951
164,0.342146
165,0.342256
166,0.342020
167,0.342204
168,0.342696
169,0.342902
170,0.342726
171,0.342577
172,0.343120
173,0.343136
174,0.343048
175,0.342623
176,0.342675
177,0.343133
178,0.343611
179,0.343253
180,0.343373
181,0.343374
182,0.343469
183,0.343708
184,0.344253
185,0.343828
186,0.343179
187,0.344055
188,0.343156
189,0.343123
190,0.342799
191,0.342903
192,0.342556
193,0.342494
194,0.342654
195,0.343013
196,0.343154
197,0.343080
198,0.343231
199,0.342941
200,0.342818
201,0.343246
202,0.342855
203,0.343452
204,0.343238
205,0.343171
206,0.343372
207,0.343787
208,0.343695
209,0.343656
210,0.343529
211,0.343494
212,0.343931
213,0.344115
214,0.343657
215,0.344273
216,0.344212
217,0.343847
218,0.344034
219,0.344240
220,0.343995
221,0.344219
222,0.344122
223,0.343587
224,0.343453
225,0.343750
226,0.344024
227,0.343105
228,0.343692
229,0.344021
230,0.343788
231,0.343835
232,0.344026
233,0.343714
234,0.343704
235,0.343202
236,0.343702
237,0.343088
238,0.343009
239,0.343732
240,0.343678
241,0.342803
242,0.342902
243,0.343358
244,0.343294
245,0.343096
246,0.343274
247,0.342939
248,0.342820
249,0.343184
250,0.343329
251,0.342947
252,0.343014
253,0.343479
254,0.343315
255,0.343427
256,0.342862
257,0.343427
258,0.343133
259,0.342949
260,0.342381
261,0.342697
262,0.342747
263,0.342923
264,0.343171
265,0.342979
266,0.343167
267,0.343120
268,0.342770
269,0.342808
270,0.342349
271,0.342090
272,0.342264
273,0.342575
274,0.342585
275,0.342497
276,0.342588
277,0.342736
278,0.342913
279,0.342804
280,0.343359
281,0.343035
282,0.342884
283,0.342708
284,0.343446
285,0.343167
286,0.342115
287,0.342643
288,0.343183
289,0.342431
290,0.342747
291,0.343058
292,0.343196
293,0.343382
294,0.342445
295,0.342359
296,0.343134
297,0.343265
298,0.342487
299,0.343029
300,0.342634
301,0.342659
302,0.341916
303,0.341605
304,0.341990
305,0.341084
306,0.342301
307,0.342649
308,0.342210
309,0.341004
310,0.341286
311,0.342101
312,0.341622
313,0.342526
314,0.342580
315,0.342070
316,0.342075
317,0.342066
318,0.342185
319,0.341460
320,0.341944
321,0.341594
322,0.341880
323,0.341935
324,0.342250
325,0.341940
326,0.342412
327,0.342412
328,0.342637
329,0.342366
330,0.342547
331,0.341453
332,0.341925
333,0.342240
334,0.342339
335,0.342123
336,0.342645
337,0.341981
338,0.341925
339,0.342755
340,0.341556
341,0.342351
342,0.342003
343,0.342016
344,0.341692
345,0.341635
346,0.341875
347,0.341535
348,0.342046
349,0.341755
350,0.341786
351,0.341689
352,0.341526
353,0.342174
354,0.342094
355,0.341132
356,0.341763
357,0.341930
358,0.341858
359,0.341858
360,0.342114
361,0.342176
362,0.341570
363,0.341830
364,0.341680
365,0.341587
366,0.342052
367,0.342190
368,0.342402
369,0.342823
370,0.343256
371,0.342652
372,0.342447
373,0.342718
374,0.343112
375,0.343160
376,0.343131
377,0.343082
378,0.343237
379,0.342882
380,0.342678
381,0.343049
382,0.342930
383,0.343324
384,0.343158
385,0.342932
386,0.343667
387,0.343570
388,0.343572
389,0.343441
390,0.343524
391,0.343404
392,0.343702
393,0.343080
394,0.343469
395,0.343486
396,0.343347
397,0.343596
398,0.343727
399,0.343518
400,0.343298
401,0.343751
402,0.343675
403,0.343352
404,0.343947
405,0.343638
406,0.343795
407,0.344151
408,0.344075
409,0.344132
410,0.344077
411,0.344178
412,0.344284
413,0.344417
414,0.344273
415,0.344182
416,0.343808
417,0.343735
418,0.344125
419,0.344113
420,0.343824
421,0.344477
422,0.343766
423,0.344454
424,0.344114
425,0.343816
426,0.343920
427,0.343728
428,0.343659
429,0.343679
430,0.344039
431,0.344070
432,0.344254
433,0.343916
434,0.343874
435,0.343542
436,0.343744
437,0.344162
438,0.344452
439,0.344002
440,0.342961
441,0.343647
442,0.343935
443,0.343688
444,0.343730
445,0.344251
446,0.344014
447,0.343861
448,0.343791
449,0.343004
450,0.343228
451,0.343992
452,0.344226
453,0.343664
454,0.343325
455,0.343177
456,0.343151
457,0.343480
458,0.342820
459,0.342869
460,0.343112
461,0.343304
462,0.342874
463,0.343017
464,0.343299
465,0.343366
466,0.343410
467,0.343814
468,0.343723
469,0.343724
470,0.343774
471,0.343842
472,0.343757
473,0.343986
474,0.343963
475,0.343803
476,0.343549
477,0.343833
478,0.343925
479,0.344257
480,0.343863
481,0.343791
482,0.343824
483,0.343967
484,0.344371
485,0.344447
486,0.344348
487,0.343844
488,0.344077
489,0.344178
490,0.344443
491,0.344471
492,0.344255
493,0.343775
494,0.344256
495,0.343506
496,0.343456
497,0.343765
498,0.343431
499,0.344102
