0.001
iteration,validation ndcg
0,0.343067
1,0.346910
2,0.345106
3,0.341363
4,0.346855
5,0.342438
6,0.337086
7,0.346877
8,0.339351
9,0.340276
10,0.350876
11,0.334885
12,0.341791
13,0.350030
14,0.340735
15,0.340494
16,0.343103
17,0.353703
18,0.341249
19,0.342592
20,0.348443
21,0.345898
22,0.339440
23,0.344619
24,0.351912
25,0.345921
26,0.334968
27,0.342339
28,0.349329
29,0.346182
30,0.351791
31,0.356857
32,0.339793
33,0.347342
34,0.352367
35,0.360623
36,0.347333
37,0.346575
38,0.355570
39,0.355056
40,0.349801
41,0.353264
42,0.346646
43,0.348287
44,0.355124
45,0.347353
46,0.351920
47,0.364033
48,0.353969
49,0.350527
50,0.346183
51,0.359430
52,0.352122
53,0.344949
54,0.355843
55,0.357819
56,0.360040
57,0.349821
58,0.351365
59,0.349874
60,0.358515
61,0.362059
62,0.358081
63,0.358696
64,0.358795
65,0.355621
66,0.355941
67,0.358553
68,0.358181
69,0.351615
70,0.342767
71,0.357933
72,0.349587
73,0.353906
74,0.361993
75,0.364465
76,0.361064
77,0.353755
78,0.357435
79,0.361930
80,0.365356
81,0.361417
82,0.359969
83,0.353044
84,0.363941
85,0.360758
86,0.365182
87,0.364380
88,0.364310
89,0.361722
90,0.368498
91,0.351545
92,0.358278
93,0.351489
94,0.356687
95,0.368431
96,0.366295
97,0.367415
98,0.353986
99,0.361786
100,0.365771
101,0.366346
102,0.363406
103,0.364813
104,0.353937
105,0.355218
106,0.363916
107,0.358908
108,0.362890
109,0.353395
110,0.355254
111,0.352873
112,0.366186
113,0.367485
114,0.365894
115,0.358842
116,0.352369
117,0.360066
118,0.365768
119,0.356787
120,0.359271
121,0.368516
122,0.364144
123,0.363294
124,0.367287
125,0.365913
126,0.364140
127,0.354718
128,0.353956
129,0.364751
130,0.366591
131,0.367439
132,0.369790
133,0.366411
134,0.360428
135,0.367688
136,0.360267
137,0.359883
138,0.364809
139,0.375077
140,0.362148
141,0.357300
142,0.364360
143,0.361055
144,0.367592
145,0.374045
146,0.363226
147,0.364576
148,0.364444
149,0.366737
150,0.366616
151,0.366228
152,0.369547
153,0.370237
154,0.364414
155,0.364795
156,0.366252
157,0.367702
158,0.358902
159,0.366021
160,0.371633
161,0.372400
162,0.367301
163,0.364472
164,0.364026
165,0.365700
166,0.364328
167,0.363623
168,0.370458
169,0.358481
170,0.365006
171,0.367786
172,0.366683
173,0.368911
174,0.364122
175,0.367707
176,0.368315
177,0.367811
178,0.368295
179,0.367567
180,0.365343
181,0.363187
182,0.367927
183,0.371967
184,0.367832
185,0.368432
186,0.360418
187,0.364409
188,0.365836
189,0.362553
190,0.364795
191,0.372896
192,0.362936
193,0.364856
194,0.370345
195,0.361121
196,0.360746
197,0.367285
198,0.368133
199,0.375174
200,0.366503
201,0.365467
202,0.369616
203,0.369537
204,0.365400
205,0.357694
206,0.368926
207,0.369081
208,0.362038
209,0.371678
210,0.368331
211,0.368623
212,0.366162
213,0.364941
214,0.365085
215,0.358882
216,0.365048
217,0.370724
218,0.364234
219,0.368545
220,0.367195
221,0.367775
222,0.364374
223,0.369186
224,0.363432
225,0.366305
226,0.373816
227,0.370720
228,0.373899
229,0.369564
230,0.365605
231,0.358519
232,0.369675
233,0.367575
234,0.370726
235,0.353266
236,0.366950
237,0.362262
238,0.358603
239,0.365085
240,0.369999
241,0.371414
242,0.363661
243,0.376250
244,0.366896
245,0.364131
246,0.356038
247,0.369921
248,0.369700
249,0.359196
250,0.367953
251,0.374862
252,0.373186
253,0.374891
254,0.363765
255,0.364046
256,0.365547
257,0.372703
258,0.371528
259,0.358710
260,0.364567
261,0.372763
262,0.366996
263,0.363206
264,0.372027
265,0.367277
266,0.371488
267,0.368224
268,0.366165
269,0.362759
270,0.369188
271,0.370004
272,0.365622
273,0.367929
274,0.365737
275,0.367238
276,0.365257
277,0.372987
278,0.375360
279,0.369127
280,0.373016
281,0.363830
282,0.366212
283,0.369930
284,0.372078
285,0.362270
286,0.369117
287,0.367482
288,0.375651
289,0.374754
290,0.371476
291,0.374162
292,0.370905
293,0.365781
294,0.368016
295,0.366082
296,0.366927
297,0.364270
298,0.366412
299,0.371953
300,0.358307
301,0.374480
302,0.368713
303,0.362070
304,0.358481
305,0.361526
306,0.357024
307,0.366792
308,0.367166
309,0.372626
310,0.369915
311,0.362776
312,0.377560
313,0.369169
314,0.370807
315,0.369865
316,0.366026
317,0.373246
318,0.369664
319,0.361171
320,0.371050
321,0.364883
322,0.370045
323,0.371457
324,0.367910
325,0.361015
326,0.362258
327,0.375387
328,0.360786
329,0.369682
330,0.361503
331,0.369744
332,0.371209
333,0.363614
334,0.372311
335,0.364459
336,0.368049
337,0.374207
338,0.366086
339,0.370240
340,0.371671
341,0.371657
342,0.364908
343,0.365047
344,0.364574
345,0.369545
346,0.365234
347,0.362207
348,0.366739
349,0.370437
350,0.371016
351,0.374174
352,0.373936
353,0.364967
354,0.369236
355,0.359995
356,0.367931
357,0.366574
358,0.372143
359,0.366215
360,0.370263
361,0.368548
362,0.369615
363,0.369060
364,0.366630
365,0.359355
366,0.371965
367,0.365923
368,0.369079
369,0.371078
370,0.364317
371,0.359592
372,0.367110
373,0.364388
374,0.358246
375,0.365239
376,0.364701
377,0.373720
378,0.370739
379,0.368466
380,0.370875
381,0.369186
382,0.370967
383,0.367875
384,0.369824
385,0.359926
386,0.362798
387,0.374871
388,0.356286
389,0.372459
390,0.372192
391,0.368957
392,0.365710
393,0.380598
394,0.371581
395,0.360838
396,0.372596
397,0.371005
398,0.369372
399,0.363108
400,0.367985
401,0.367590
402,0.366492
403,0.373044
404,0.364809
405,0.362886
406,0.364829
407,0.374101
